"refID","kw_original","token","corrected"
"100-136","scale","scale","scale"
"100-136","spatial heterogeneity","spatial","spatial"
"100-136","spatial heterogeneity","heterogeneity","heterogeneity"
"100-136","succession","succession","succession"
"100-137","ant","ant","ant"
"100-137","biomass","biomass","biomass"
"100-137","commensalism","commensalism","commercialism"
"100-137","conditional outcome","conditional","conditional"
"100-137","conditional outcome","outcome","outcome"
"100-137","extrafloral nectar","extrafloral","extra floral"
"100-137","extrafloral nectar","nectar","nectar"
"100-137","herbivory","herbivory","herbivore"
"100-137","inga vera","inga","gaming"
"100-137","inga vera","vera","Vera"
"100-137","light","light","light"
"100-137","mutualism","mutualism","mutual ism"
"100-137","nutrient","nutrient","nutrient"
"100-137","selenothrips rubrocinctus","selenothrips","selenographers"
"100-137","selenothrips rubrocinctus","rubrocinctus","cinctures"
"100-137","spatiotemporal variation","spatiotemporal","extemporization"
"100-137","spatiotemporal variation","variation","variation"
"100-138","decision theory","decision","decision"
"100-138","decision theory","theory","theory"
"100-138","focal species","focal","focal"
"100-138","focal species","species","species"
"100-138","habitat maps","habitat","habitat"
"100-138","habitat maps","maps","maps"
"100-138","landscape ecology","landscape","landscape"
"100-138","landscape ecology","ecology","ecology"
"100-138","metapopulations","metapopulations","meta populations"
"100-138","nested subsets","nested","nested"
"100-138","nested subsets","subsets","subsets"
"100-138","reserve design","reserve","reserve"
"100-138","reserve design","design","design"
"100-138","spatial pattern","spatial","spatial"
"100-138","spatial pattern","pattern","pattern"
"100-139","allometric exponent","allometric","geometrical"
"100-139","allometric exponent","exponent","exponent"
"100-139","allometric scaling","allometric","geometrical"
"100-139","allometric scaling","scaling","scaling"
"100-139","basal metabolic rate","basal","basal"
"100-139","basal metabolic rate","metabolic","metabolic"
"100-139","basal metabolic rate","rate","rate"
"100-139","body mass","body","body"
"100-139","body mass","mass","mass"
"100-139","least-squares regression","least","least"
"100-139","least-squares regression","squares","squares"
"100-139","least-squares regression","regression","regression"
"100-139","likelihood","likelihood","likelihood"
"100-139","measurement error","measurement","measurement"
"100-139","measurement error","error","error"
"100-139","meta-analysis","meta","meta"
"100-139","meta-analysis","analysis","analysis"
"100-14","litter decay","litter","litter"
"100-14","litter decay","decay","decay"
"100-14","litter quality","litter","litter"
"100-14","litter quality","quality","quality"
"100-14","meta-analysis","meta","meta"
"100-14","meta-analysis","analysis","analysis"
"100-14","n addition and litter decay","n","n"
"100-14","n addition and litter decay","addition","addition"
"100-14","n addition and litter decay","and","and"
"100-14","n addition and litter decay","litter","litter"
"100-14","n addition and litter decay","decay","decay"
"100-14","nitrogen deposition","nitrogen","nitrogen"
"100-14","nitrogen deposition","deposition","deposition"
"100-14","nitrogen fertilization","nitrogen","nitrogen"
"100-14","nitrogen fertilization","fertilization","fertilization"
"100-140","capture-recapture data","capture","capture"
"100-140","capture-recapture data","recapture","recapture"
"100-140","capture-recapture data","data","data"
"100-140","markov chain monte carlo","markov","Markov"
"100-140","markov chain monte carlo","chain","chain"
"100-140","markov chain monte carlo","monte","Monte"
"100-140","markov chain monte carlo","carlo","carol"
"100-140","matrix population models","matrix","matrix"
"100-140","matrix population models","population","population"
"100-140","matrix population models","models","models"
"100-140","population viability analysis","population","population"
"100-140","population viability analysis","viability","viability"
"100-140","population viability analysis","analysis","analysis"
"100-140","random effects","random","random"
"100-140","random effects","effects","effects"
"100-140","stratification","stratification","stratification"
"100-140","terns and rats","terns","terns"
"100-140","terns and rats","and","and"
"100-140","terns and rats","rats","rats"
"100-141","clutch size variation","clutch","clutch"
"100-141","clutch size variation","size","size"
"100-141","clutch size variation","variation","variation"
"100-141","cornell nest record program","cornell","Cornell"
"100-141","cornell nest record program","nest","nest"
"100-141","cornell nest record program","record","record"
"100-141","cornell nest record program","program","program"
"100-141","critical temperatures","critical","critical"
"100-141","critical temperatures","temperatures","temperatures"
"100-141","egg viability","egg","egg"
"100-141","egg viability","viability","viability"
"100-141","hatching failure","hatching","hatching"
"100-141","hatching failure","failure","failure"
"100-141","incubation period","incubation","incubation"
"100-141","incubation period","period","period"
"100-141","latitude gradients","latitude","latitude"
"100-141","latitude gradients","gradients","gradients"
"100-141","onset of incubation","onset","onset"
"100-141","onset of incubation","of","of"
"100-141","onset of incubation","incubation","incubation"
"100-141","seasonal constraints","seasonal","seasonal"
"100-141","seasonal constraints","constraints","constraints"
"100-142","autocorrelation","autocorrelation","autocorrelation"
"100-142","landscape metrics","landscape","landscape"
"100-142","landscape metrics","metrics","metrics"
"100-142","multiscale ordination","multiscale","multi scale"
"100-142","multiscale ordination","ordination","ordination"
"100-142","multivariate analysis","multivariate","multivariate"
"100-142","multivariate analysis","analysis","analysis"
"100-142","spatial analysis","spatial","spatial"
"100-142","spatial analysis","analysis","analysis"
"100-142","spatial regression","spatial","spatial"
"100-142","spatial regression","regression","regression"
"100-142","stationarity","stationarity","stationarity"
"100-143","autogenic ecosystem engineers","autogenic","photogenic"
"100-143","autogenic ecosystem engineers","ecosystem","ecosystem"
"100-143","autogenic ecosystem engineers","engineers","engineers"
"100-143","current velocity","current","current"
"100-143","current velocity","velocity","velocity"
"100-143","drag","drag","drag"
"100-143","extended phenotype","extended","extended"
"100-143","extended phenotype","phenotype","phenotype"
"100-143","niche construction","niche","niche"
"100-143","niche construction","construction","construction"
"100-143","sediment accretion","sediment","sediment"
"100-143","sediment accretion","accretion","accretion"
"100-143","spartina anglica","spartina","spartan"
"100-143","spartina anglica","anglica","angelica"
"100-143","trade-offs","trade","trade"
"100-143","trade-offs","offs","offs"
"100-143","waves","waves","waves"
"100-143","zostera noltii","zostera","zoster"
"100-143","zostera noltii","noltii","notion"
"100-144","landscape context","landscape","landscape"
"100-144","landscape context","context","context"
"100-144","landscape ecology","landscape","landscape"
"100-144","landscape ecology","ecology","ecology"
"100-144","scale","scale","scale"
"100-144","spatial heterogeneity","spatial","spatial"
"100-144","spatial heterogeneity","heterogeneity","heterogeneity"
"100-144","spatial pattern","spatial","spatial"
"100-144","spatial pattern","pattern","pattern"
"100-145","egg-ratio production","egg","egg"
"100-145","egg-ratio production","ratio","ratio"
"100-145","egg-ratio production","production","production"
"100-145","error propagation","error","error"
"100-145","error propagation","propagation","propagation"
"100-145","freshwater zooplankton","freshwater","freshwater"
"100-145","freshwater zooplankton","zooplankton","zooplankton"
"100-145","nonparametric and parametric bootstrap","nonparametric","nonparametric"
"100-145","nonparametric and parametric bootstrap","and","and"
"100-145","nonparametric and parametric bootstrap","parametric","parametric"
"100-145","nonparametric and parametric bootstrap","bootstrap","bootstrap"
"100-146","denmark","denmark","Denmark"
"100-146","diatoms","diatoms","diatoms"
"100-146","ecosystem state change","ecosystem","ecosystem"
"100-146","ecosystem state change","state","state"
"100-146","ecosystem state change","change","change"
"100-146","eutrophication","eutrophication","eutrophication"
"100-146","macrophytes","macrophytes","macrophages"
"100-146","paleolimnology","paleolimnology","paleontology"
"100-146","pigments","pigments","pigments"
"100-146","planktivorous fish","planktivorous","insectivorous"
"100-146","planktivorous fish","fish","fish"
"100-146","primary producers","primary","primary"
"100-146","primary producers","producers","producers"
"100-146","shallow lakes","shallow","shallow"
"100-146","shallow lakes","lakes","lakes"
"100-146","state transition","state","state"
"100-146","state transition","transition","transition"
"100-146","variance partitioning analysis","variance","variance"
"100-146","variance partitioning analysis","partitioning","partitioning"
"100-146","variance partitioning analysis","analysis","analysis"
"100-147","caribbean","caribbean","Caribbean"
"100-147","climate change","climate","climate"
"100-147","climate change","change","change"
"100-147","coral bleaching","coral","coral"
"100-147","coral bleaching","bleaching","bleaching"
"100-147","sea surface temperature","sea","sea"
"100-147","sea surface temperature","surface","surface"
"100-147","sea surface temperature","temperature","temperature"
"100-147","thermal stress","thermal","thermal"
"100-147","thermal stress","stress","stress"
"100-148","biogeography","biogeography","bio geography"
"100-148","boreal","boreal","arboreal"
"100-148","dispersal","dispersal","dispersal"
"100-148","gene flow","gene","gene"
"100-148","gene flow","flow","flow"
"100-148","great basin usa","great","great"
"100-148","great basin usa","basin","basin"
"100-148","great basin usa","usa","USA"
"100-148","habitat islands","habitat","habitat"
"100-148","habitat islands","islands","islands"
"100-148","marmota flaviventris","marmota","marmots"
"100-148","marmota flaviventris","flaviventris","ventriloquist"
"100-148","microsatellites","microsatellites","microsatellites"
"100-149","alpine tundra","alpine","alpine"
"100-149","alpine tundra","tundra","tundra"
"100-149","competition","competition","competition"
"100-149","dominant species","dominant","dominant"
"100-149","dominant species","species","species"
"100-149","dryas octopetala","dryas","drays"
"100-149","dryas octopetala","octopetala","octagonal"
"100-149","functional groups","functional","functional"
"100-149","functional groups","groups","groups"
"100-149","nutrient addition","nutrient","nutrient"
"100-149","nutrient addition","addition","addition"
"100-149","open top chambers","open","open"
"100-149","open top chambers","top","top"
"100-149","open top chambers","chambers","chambers"
"100-149","plant community diversity","plant","plant"
"100-149","plant community diversity","community","community"
"100-149","plant community diversity","diversity","diversity"
"100-149","south norway","south","south"
"100-149","south norway","norway","Norway"
"100-149","species interactions","species","species"
"100-149","species interactions","interactions","interactions"
"100-149","warming","warming","warming"
"100-15","balanus improvisus","balanus","balances"
"100-15","balanus improvisus","improvisus","improvises"
"100-15","biodiversity","diversity","diversity"
"100-15","ecosystem function","ecosystem","ecosystem"
"100-15","ecosystem function","function","function"
"100-15","facilitation","facilitation","facilitation"
"100-15","genetic","genetic","genetic"
"100-15","intraspecific diversity","intraspecific","transpacific"
"100-15","intraspecific diversity","diversity","diversity"
"100-15","marine","marine","marine"
"100-15","settling","settling","settling"
"100-150","breeding range","breeding","breeding"
"100-150","breeding range","range","range"
"100-150","geographic variation","geographic","geographic"
"100-150","geographic variation","variation","variation"
"100-150","immune function","immune","immune"
"100-150","immune function","function","function"
"100-150","latitudinal gradients","latitudinal","latitudinal"
"100-150","latitudinal gradients","gradients","gradients"
"100-150","life history trade-offs","life","life"
"100-150","life history trade-offs","history","history"
"100-150","life history trade-offs","trade","trade"
"100-150","life history trade-offs","offs","offs"
"100-150","offspring quality","offspring","offspring"
"100-150","offspring quality","quality","quality"
"100-150","parental investment","parental","parental"
"100-150","parental investment","investment","investment"
"100-150","reproductive effort","reproductive","reproductive"
"100-150","reproductive effort","effort","effort"
"100-150","self-maintenance","self","self"
"100-150","self-maintenance","maintenance","maintenance"
"100-150","tachycineta bicolor","tachycineta","tachycardia"
"100-150","tachycineta bicolor","bicolor","bi color"
"100-150","tree swallow","tree","tree"
"100-150","tree swallow","swallow","swallow"
"100-151","community dynamics","community","community"
"100-151","community dynamics","dynamics","dynamics"
"100-151","spatiotemporal scaling","spatiotemporal","extemporization"
"100-151","spatiotemporal scaling","scaling","scaling"
"100-151","species diversity","diversity","diversity"
"100-151","species-area relationship","species","species"
"100-151","species-area relationship","area","area"
"100-151","species-area relationship","relationship","relationship"
"100-151","species-time relationship","species","species"
"100-151","species-time relationship","time","time"
"100-151","species-time relationship","relationship","relationship"
"100-151","turnover","turnover","turnover"
"100-152","2-phenylethanol","2","2"
"100-152","2-phenylethanol","phenylethanol","phenomenology"
"100-152","dioecy","dioecy","idiocy"
"100-152","floral volatiles","floral","floral"
"100-152","floral volatiles","volatiles","volatile"
"100-152","fragaria virginiana","fragaria","frag aria"
"100-152","fragaria virginiana","virginiana","virginal"
"100-152","fragrance","fragrance","fragrance"
"100-152","gynodioecy","gynodioecy","gynecology"
"100-152","pollen","pollen","pollen"
"100-152","pollen scent","pollen","pollen"
"100-152","pollen scent","scent","scent"
"100-153","altitudinal gradient","altitudinal","latitudinal"
"100-153","altitudinal gradient","gradient","gradient"
"100-153","birds","birds","birds"
"100-153","climatic gradient","climatic","climatic"
"100-153","climatic gradient","gradient","gradient"
"100-153","developmental constraint","developmental","developmental"
"100-153","developmental constraint","constraint","constraint"
"100-153","egg viability","egg","egg"
"100-153","egg viability","viability","viability"
"100-153","hatching asynchrony","hatching","hatching"
"100-153","hatching asynchrony","asynchrony","synchrony"
"100-153","incubation","incubation","incubation"
"100-153","parental care","parental","parental"
"100-153","parental care","care","care"
"100-153","pearly-eyed thrasher","pearly","pearly"
"100-153","pearly-eyed thrasher","eyed","eyed"
"100-153","pearly-eyed thrasher","thrasher","thrasher"
"100-155","carnivore","carnivore","carnivore"
"100-155","community ecology","community","community"
"100-155","community ecology","ecology","ecology"
"100-155","conservation","conservation","conservation"
"100-155","herbivory","herbivory","herbivore"
"100-155","human activity","human","human"
"100-155","human activity","activity","activity"
"100-155","park management","park","park"
"100-155","park management","management","management"
"100-155","predation","predation","depredation"
"100-155","predator exclusion","predator","predator"
"100-155","predator exclusion","exclusion","exclusion"
"100-155","trophic cascade","trophic","tropic"
"100-155","trophic cascade","cascade","cascade"
"100-155","wolf","wolf","wolf"
"100-156","bird populations","bird","bird"
"100-156","bird populations","populations","populations"
"100-156","breeding bird survey","breeding","breeding"
"100-156","breeding bird survey","bird","bird"
"100-156","breeding bird survey","survey","survey"
"100-156","eastern north america","eastern","eastern"
"100-156","eastern north america","north","north"
"100-156","eastern north america","america","America"
"100-156","hardwood forests","hardwood","hardwood"
"100-156","hardwood forests","forest","forest"
"100-156","magicicada","magicicada","magi cicada"
"100-156","periodical cicadas","periodical","periodical"
"100-156","periodical cicadas","cicadas","cicadas"
"100-156","predation","predation","depredation"
"100-156","predator satiation","predator","predator"
"100-156","predator satiation","satiation","satiation"
"100-156","pulsed resources","pulsed","pulsed"
"100-156","pulsed resources","resources","resources"
"100-156","spatial synchrony","spatial","spatial"
"100-156","spatial synchrony","synchrony","synchrony"
"100-157","caucasus","caucasus","Caucasus"
"100-157","cirsium obalatum","cirsium","circumcise"
"100-157","cirsium obalatum","obalatum","petrolatum"
"100-157","competition","competition","competition"
"100-157","diversity","diversity","diversity"
"100-157","exclosure","exclosure","enclosure"
"100-157","facilitation","facilitation","facilitation"
"100-157","herbivory","herbivory","herbivore"
"100-157","increaser","increaser","increase"
"100-157","indirect interaction","indirect","indirect"
"100-157","indirect interaction","interaction","interaction"
"100-157","plant community","plant","plant"
"100-157","plant community","community","community"
"100-157","rangeland","rangeland","rang eland"
"100-157","veratrum lobelianum","veratrum","ageratum"
"100-157","veratrum lobelianum","lobelianum","nobelium"
"100-158","ambystoma","ambystoma","customary"
"100-158","amphibian decline","amphibian","amphibian"
"100-158","amphibian decline","decline","decline"
"100-158","desmognathus","desmognathus","prognathous"
"100-158","equivalence tests","equivalence","equivalence"
"100-158","equivalence tests","tests","tests"
"100-158","population trends","population","population"
"100-158","population trends","trends","trends"
"100-158","statistical power","statistical","statistical"
"100-158","statistical power","power","power"
"100-158","testing for no effect","testing","testing"
"100-158","testing for no effect","for","for"
"100-158","testing for no effect","no","no"
"100-158","testing for no effect","effect","effect"
"100-159","charcoal","charcoal","charcoal"
"100-159","disturbance","disturbance","disturbance"
"100-159","fagus sylvatica","fagus","fags"
"100-159","fagus sylvatica","sylvatica","syllabicate"
"100-159","fire","fire","fire"
"100-159","forest hollows","forest","forest"
"100-159","forest hollows","hollows","hollows"
"100-159","picea abies","picea","pica"
"100-159","picea abies","abies","rabies"
"100-159","pollen analysis","pollen","pollen"
"100-159","pollen analysis","analysis","analysis"
"100-16","field experiment","field","field"
"100-16","field experiment","experiment","experiment"
"100-16","introduction effort","introduction","introduction"
"100-16","introduction effort","effort","effort"
"100-16","invasibility","invasibility","invisibility"
"100-16","plant invaders","plant","plant"
"100-16","plant invaders","invaders","invaders"
"100-16","richness","richness","richness"
"100-160","amphibian","amphibian","amphibian"
"100-160","anura","anurans","insurance"
"100-160","canopy","canopy","canopy"
"100-160","frog","frog","frog"
"100-160","habitat distribution","habitat","habitat"
"100-160","habitat distribution","distribution","distribution"
"100-160","hydroperiod","hydroperiod","hydro period"
"100-160","local vs. landscape processes","local","local"
"100-160","local vs. landscape processes","vs","vs"
"100-160","local vs. landscape processes","landscape","landscape"
"100-160","local vs. landscape processes","processes","processes"
"100-160","model selection","model","model"
"100-160","model selection","selection","selection"
"100-160","newt","newt","newt"
"100-160","predation","predation","depredation"
"100-160","presence/absence","presence","presence"
"100-160","presence/absence","absence","absence"
"100-160","switzerland","switzerland","Switzerland"
"100-161","diversity","diversity","diversity"
"100-161","energy/habitat/stability effects","energy","energy"
"100-161","energy/habitat/stability effects","habitat","habitat"
"100-161","energy/habitat/stability effects","stability","stability"
"100-161","energy/habitat/stability effects","effects","effects"
"100-161","fishes","fishes","fishes"
"100-161","geographic range","geographic","geographic"
"100-161","geographic range","range","range"
"100-161","mid-domain effect","mid","mid"
"100-161","mid-domain effect","domain","domain"
"100-161","mid-domain effect","effect","effect"
"100-161","rapoport's rule","rapoports","rapports"
"100-161","rapoport's rule","rule","rule"
"100-161","spatial scale","spatial","spatial"
"100-161","spatial scale","scale","scale"
"100-162","hysteresis","hysteresis","hysteresis"
"100-162","lattice model","lattice","lattice"
"100-162","lattice model","model","model"
"100-162","mobile link organisms","mobile","mobile"
"100-162","mobile link organisms","link","link"
"100-162","mobile link organisms","organisms","organisms"
"100-162","multiple attractors","multiple","multiple"
"100-162","multiple attractors","attractors","at tractors"
"100-162","regime shifts","regime","regime"
"100-162","regime shifts","shifts","shifts"
"100-162","spatial heterogeneity","spatial","spatial"
"100-162","spatial heterogeneity","heterogeneity","heterogeneity"
"100-163","amazon","amazon","amazon"
"100-163","deforestation","deforestation","deforestation"
"100-163","heliconia acuminata","heliconia","helicopter"
"100-163","heliconia acuminata","acuminata","culminate"
"100-163","heliconiaceae","heliconiaceae","heliocentric"
"100-163","life table response experiment","life","life"
"100-163","life table response experiment","table","table"
"100-163","life table response experiment","response","response"
"100-163","life table response experiment","experiments","experiments"
"100-163","ltre","ltre","lyre"
"100-163","matrix models","matrix","matrix"
"100-163","matrix models","models","models"
"100-163","population growth rate","population","population"
"100-163","population growth rate","growth","growth"
"100-163","population growth rate","rate","rate"
"100-163","lambda","lambda","lambda"
"100-163","sensitivity analysis","sensitivity","sensitivity"
"100-163","sensitivity analysis","analysis","analysis"
"100-164","beringia","beringia","bearing"
"100-164","boreal forest","boreal","arboreal"
"100-164","boreal forest","forest","forest"
"100-164","climate change","climate","climate"
"100-164","climate change","change","change"
"100-164","holocene","holocene","Holocene"
"100-164","novel biomes","novel","novel"
"100-164","novel biomes","biomes","bio mes"
"100-164","plant functional types","plant","plant"
"100-164","plant functional types","functional","functional"
"100-164","plant functional types","types","types"
"100-165","biodiversity","diversity","diversity"
"100-165","conservation management for species richness","conservation","conservation"
"100-165","conservation management for species richness","management","management"
"100-165","conservation management for species richness","for","for"
"100-165","conservation management for species richness","species","species"
"100-165","conservation management for species richness","richness","richness"
"100-165","phosphorus","phosphorus","phosphorus"
"100-165","productivity","productivity","productivity"
"100-165","richness","richness","richness"
"100-165","richness-productivity relationships","richness","richness"
"100-165","richness-productivity relationships","productivity","productivity"
"100-165","richness-productivity relationships","relationships","relationships"
"100-165","shallow lake","shallow","shallow"
"100-165","shallow lake","lake","lake"
"100-165","shallow-lake species richness structure","shallow","shallow"
"100-165","shallow-lake species richness structure","lake","lake"
"100-165","shallow-lake species richness structure","species","species"
"100-165","shallow-lake species richness structure","richness","richness"
"100-165","shallow-lake species richness structure","structure","structure"
"100-165","water plants","water","water"
"100-165","water plants","plants","plants"
"100-166","consumer-resource dynamics","consumer","consumer"
"100-166","consumer-resource dynamics","resource","resource"
"100-166","consumer-resource dynamics","dynamics","dynamics"
"100-166","context dependency","context","context"
"100-166","context dependency","dependency","dependency"
"100-166","ecosystem goods and services","ecosystem","ecosystem"
"100-166","ecosystem goods and services","goods","goods"
"100-166","ecosystem goods and services","and","and"
"100-166","ecosystem goods and services","services","services"
"100-166","habitat restoration","habitat","habitat"
"100-166","habitat restoration","restoration","restoration"
"100-166","mudflats","mudflats","mudflats"
"100-166","oyster reefs","oyster","oyster"
"100-166","oyster reefs","reef","reef"
"100-166","salt marshes","salt","salt"
"100-166","salt marshes","marshes","marshes"
"100-166","seagrass beds","seagrass","sea grass"
"100-166","seagrass beds","beds","beds"
"100-167","competition","competition","competition"
"100-167","foraging morphology and individual growth","foraging","foraging"
"100-167","foraging morphology and individual growth","morphology","morphology"
"100-167","foraging morphology and individual growth","and","and"
"100-167","foraging morphology and individual growth","individual","individual"
"100-167","foraging morphology and individual growth","growth","growth"
"100-167","inducible defense","inducible","deducible"
"100-167","inducible defense","defense","defense"
"100-167","phenotypic plasticity","phenotypic","phenotypic"
"100-167","phenotypic plasticity","plasticity","plasticity"
"100-167","polyphenism","polyphenism","polytheism"
"100-167","predation","predation","depredation"
"100-167","rana sylvatica","rana","ran"
"100-167","rana sylvatica","sylvatica","syllabicate"
"100-167","trophic polymorphism","trophic","tropic"
"100-167","trophic polymorphism","polymorphism","polymorphic"
"100-168","aggressive behavior","aggressive","aggressive"
"100-168","aggressive behavior","behavior","behavior"
"100-168","density dependence","density","density"
"100-168","density dependence","dependence","dependence"
"100-168","intrinsic hypotheses","intrinsic","intrinsic"
"100-168","intrinsic hypotheses","hypotheses","hypotheses"
"100-168","kinship hypothesis","kinship","kinship"
"100-168","kinship hypothesis","hypothesis","hypothesis"
"100-168","lagopus lagopus scoticus","lagopus","lag opus"
"100-168","lagopus lagopus scoticus","lagopus","lag opus"
"100-168","lagopus lagopus scoticus","scoticus","scorbutic"
"100-168","mathematical model","mathematical","mathematical"
"100-168","mathematical model","model","model"
"100-168","necessary and sufficient conditions for instability","necessary","necessary"
"100-168","necessary and sufficient conditions for instability","and","and"
"100-168","necessary and sufficient conditions for instability","sufficient","sufficient"
"100-168","necessary and sufficient conditions for instability","conditions","conditions"
"100-168","necessary and sufficient conditions for instability","for","for"
"100-168","necessary and sufficient conditions for instability","instability","instability"
"100-168","population cycles","population","population"
"100-168","population cycles","cycles","cycles"
"100-168","red grouse","red","red"
"100-168","red grouse","grouse","grouse"
"100-168","territoriality","territoriality","territoriality"
"100-168","unstable population dynamics","unstable","unstable"
"100-168","unstable population dynamics","population","population"
"100-168","unstable population dynamics","dynamics","dynamics"
"100-17","ant-plant mutualism","ant","ant"
"100-17","ant-plant mutualism","plant","plant"
"100-17","ant-plant mutualism","mutualism","mutual ism"
"100-17","coherence number","coherence","coherence"
"100-17","coherence number","number","number"
"100-17","competition","competition","competition"
"100-17","environmental forcing","environmental","environmental"
"100-17","environmental forcing","forcing","forcing"
"100-17","ferocactus wislizeni","ferocactus","ferocious"
"100-17","ferocactus wislizeni","wislizeni","wizened"
"100-17","metapopulation","metapopulation","meta population"
"100-17","resonance","resonance","resonance"
"100-17","seasonality","seasonality","seasonality"
"100-17","transfer function","transfer","transfer"
"100-17","transfer function","function","function"
"100-170","aspondylia borrichiae","aspondylia","spoliation"
"100-170","aspondylia borrichiae","borrichiae","trichinae"
"100-170","borrichia frutescens","borrichia","bronchial"
"100-170","borrichia frutescens","frutescens","putrescence"
"100-170","bottom-up effects","bottom","bottom"
"100-170","bottom-up effects","up","up"
"100-170","bottom-up effects","effects","effects"
"100-170","environmental-stress gradient","environmental","environmental"
"100-170","environmental-stress gradient","stress","stress"
"100-170","environmental-stress gradient","gradient","gradient"
"100-170","gall maker","gall","gall"
"100-170","gall maker","maker","maker"
"100-170","pissonotus quadripustulatus","pissonotus","nonpoisonous"
"100-170","pissonotus quadripustulatus","quadripustulatus","quadrilaterals"
"100-170","salt marshes","salt","salt"
"100-170","salt marshes","marshes","marshes"
"100-170","sap sucker","sap","sap"
"100-170","sap sucker","sucker","sucker"
"100-170","top-down effects","top","top"
"100-170","top-down effects","down","down"
"100-170","top-down effects","effects","effects"
"100-170","trophic-dynamics models","trophic","tropic"
"100-170","trophic-dynamics models","dynamics","dynamics"
"100-170","trophic-dynamics models","models","models"
"100-171","abundance","abundance","abundance"
"100-171","adaptation","adaptation","adaptation"
"100-171","assembly rules","assembly","assembly"
"100-171","assembly rules","rules","rules"
"100-171","co-occurrence","co","co"
"100-171","co-occurrence","occurrence","occurrence"
"100-171","dispersal","dispersal","dispersal"
"100-171","distribution","distribution","distribution"
"100-171","diversity","diversity","diversity"
"100-171","neutral model","neutral","neutral"
"100-171","neutral model","model","model"
"100-171","range","range","range"
"100-172","bacteria","bacteria","bacteria"
"100-172","bacterial community structure","bacterial","bacterial"
"100-172","bacterial community structure","community","community"
"100-172","bacterial community structure","structure","structure"
"100-172","dispersion","dispersion","dispersion"
"100-172","diversity","diversity","diversity"
"100-172","ecosystem size","ecosystem","ecosystem"
"100-172","ecosystem size","size","size"
"100-172","island biogeography","island","island"
"100-172","island biogeography","biogeography","bio geography"
"100-172","richness","richness","richness"
"100-173","dry-season drought","dry","dry"
"100-173","dry-season drought","season","season"
"100-173","dry-season drought","drought","drought"
"100-173","el niño southern oscillation (enso)","el","e"
"100-173","el niño southern oscillation (enso)","niño","onion"
"100-173","el niño southern oscillation (enso)","southern","southern"
"100-173","el niño southern oscillation (enso)","oscillation","oscillation"
"100-173","el niño southern oscillation (enso)","enso","ens"
"100-173","forest dynamics","forest","forest"
"100-173","forest dynamics","dynamics","dynamics"
"100-173","mortality","mortality","mortality"
"100-173","rainfall","rainfall","rainfall"
"100-173","recruitment","recruitment","recruitment"
"100-173","succession","succession","succession"
"100-174","adaptation","adaptation","adaptation"
"100-174","climate change","climate","climate"
"100-174","climate change","change","change"
"100-174","evolutionary constraints","evolutionary","evolutionary"
"100-174","evolutionary constraints","constraints","constraints"
"100-174","quaternary paleoecology","quaternary","Quaternary"
"100-174","quaternary paleoecology","paleoecology","paleontology"
"100-174","range shifts","range","range"
"100-174","range shifts","shifts","shifts"
"100-174","tolerance limits","tolerance","tolerance"
"100-174","tolerance limits","limits","limits"
"100-175","alaska","alaska","Alaska"
"100-175","alpine tree line","alpine","alpine"
"100-175","alpine tree line","tree","tree"
"100-175","alpine tree line","line","line"
"100-175","arctic tree line","arctic","arctic"
"100-175","arctic tree line","tree","tree"
"100-175","arctic tree line","line","line"
"100-175","boreal forest","boreal","arboreal"
"100-175","boreal forest","forest","forest"
"100-175","climate change","climate","climate"
"100-175","climate change","change","change"
"100-175","lag","lag","lag"
"100-175","permafrost","permafrost","permafrost"
"100-175","picea glauca","picea","pica"
"100-175","picea glauca","glauca","glaucoma"
"100-175","tree line advance","tree","tree"
"100-175","tree line advance","line","line"
"100-175","tree line advance","advance","advance"
"100-175","tundra","tundra","tundra"
"100-176","algae","algae","algae"
"100-176","clear-water phase","clear","clear"
"100-176","clear-water phase","water","water"
"100-176","clear-water phase","phase","phase"
"100-176","consumption","consumption","consumption"
"100-176","diapausing eggs","diapausing","diagnosing"
"100-176","diapausing eggs","eggs","eggs"
"100-176","mtdna","mtdna","DNA"
"100-176","onondaga lake","onondaga","Onondaga"
"100-176","onondaga lake","lake","lake"
"100-176","paleolimnology","paleolimnology","paleontology"
"100-176","zooplankton","zooplankton","zooplankton"
"100-177","aquatic ecosystems","aquatic","aquatic"
"100-177","aquatic ecosystems","ecosystem","ecosystem"
"100-177","food webs","food","food"
"100-177","food webs","webs","webs"
"100-177","grazers","grazers","grazers"
"100-177","n:p","n:p","n:p"
"100-177","nitrogen:phosphorus ratio","nitrogen:phosphorus","nitrogen:phosphorus"
"100-177","nitrogen:phosphorus ratio","ratio","ratio"
"100-177","primary producers","primary","primary"
"100-177","primary producers","producers","producers"
"100-177","quota saturation","quota","quota"
"100-177","quota saturation","saturation","saturation"
"100-177","redfield ratio","redfield","red field"
"100-177","redfield ratio","ratio","ratio"
"100-177","stoichiometry","stoichiometry","psychometric"
"100-178","alien species","alien","alien"
"100-178","alien species","species","species"
"100-178","community invasibility","community","community"
"100-178","community invasibility","invasibility","invisibility"
"100-178","community saturation","community","community"
"100-178","community saturation","saturation","saturation"
"100-178","diversity","diversity","diversity"
"100-178","exotic species","exotic","exotic"
"100-178","exotic species","species","species"
"100-178","fluctuating resource hypothesis","fluctuating","fluctuating"
"100-178","fluctuating resource hypothesis","resource","resource"
