kw,kw2,kw3,n
chrysophyllum sp nov.,m sp nov,,1
chrysopidae,rysopida,,1
chrysopsyche imparilis,imparili,s,1
chrysothamnus nauseosus,nauseosu,s,1
chrysothamnus viscidiflora,cidiflor,,1
chthamalus,hthamalu,s,1
chthamalus anisopoma,anisopom,,1
chthamalus montagui, montagu,,1
chthamalus stellatus,stellatu,s,1
chthoniobacterales,acterale,s,1
chuckwalla,huckwall,,1
chukchi sea,ukchi se,,1
chukrasia tabularis,tabulari,s,1
chum salmon,um salmo,,1
chusquea,chusque,,1
chusquea culeou,ea culeo,,1
chusquea spp.,quea spp,,1
chusquea-subtessellata,essellat,,1
chydoridae,hydorida,,1
chytrid,chytri,,1
chytrid fungus,id fungu,s,1
chytridiomycete,diomycet,,1
chytridiomycosis,iomycosi,s,1
chytridiomycota,diomycot,,2
ci&#233,ci&#23,,1
cibotiaceae,botiacea,,1
cibotium,cibotiu,,1
cibotium glaucum,m glaucu,,1
cicada mortality,mortalit,,122
cicadas,cicada,s,1
cicadellidae),dellidae,,1
cicadidae,cicadida,,1
cichla monoculus,monoculu,s,1
cichlid,cichli,,1
cichlid fish,hlid fis,,1
cichlidae,cichlida,,1
cicindela,cicindel,,1
cicindela dorsalis, dorsali,s,1
cicindela flavomaculata,omaculat,,1
cicindela whithilli,whithill,,1
ciconia ciconia,a ciconi,,1
cider,cide,,1
cienaga grande de santa marta,nta mart,,2
cienega,cieneg,,1
ciliate cysts,ate cyst,s,1
ciliates,ciliate,s,1
ciliophora,iliophor,,1
cimex lectularius,ctulariu,s,1
cinara,cinar,,1
cinchona pubescens,pubescen,s,11
cinclodes,cinclode,s,1
cinclus cinclus,s cinclu,s,1
cinclus mexicanus,mexicanu,s,9
cinegetic fauna,tic faun,,1
cinereous vulture,s vultur,,1
cingulata,cingulat,,2
cinna arundinacea,undinace,,4
cinnamomum,innamomu,,2
cinnamomum bejolghota,ejolghot,,1
cinnamomum subavenium,ubaveniu,,1
cinnamomum verum,mum veru,,1
cinnamyl alcohol,l alcoho,,3
cinnyris jugularis,jugulari,s,2
ciona,cion,,1
ciona intestinalis,estinali,s,2
circadian,circadia,,1
circadian activity, activit,,57
circadian clock,ian cloc,,1
circadian rhythm,an rhyth,,1
circadian switch,an switc,,1
circadian temperature fluctuations,ctuation,s,22
circuit theory,it theor,,2
circuitscape,cuitscap,,1
circular kernel,ar kerne,,1
circular path,ular pat,,1
circular statistics,tatistic,s,26
circularly polarized light,zed ligh,,1
circulation anomalies,anomalie,s,4
circumtropical speciation,peciatio,,53
circus cyaneus,s cyaneu,s,2
circus pygargus, pygargu,s,1
cirripedia,irripedi,,1
cirsium,cirsiu,,1
cirsium arvense,m arvens,,2
cirsium canescens,canescen,s,7
cirsium dissectum,dissectu,,2
cirsium obalatum, obalatu,,1
cirsium occidentale,cidental,,3
cirsium scopulorum,copuloru,,1
cirsium undulatum spreng.,m spreng,,1
cirsium vulgare,m vulgar,,4
cis,ci,s,1
cis-regulation,egulatio,,60
cis&#8208,cis&#820,,1
cisco,cisc,,1
cissus,cissu,s,1
cistaceae,cistacea,,1
cistus,cistu,s,1
cistus albidus,s albidu,s,2
cistus salvifolius,lvifoliu,s,1
citation,citatio,,1
cites,cite,s,1
citespace,citespac,,1
cithaerias pireta,as piret,,1
cities,citie,s,1
citizen science,n scienc,,7
citizen science data,ence dat,,6
citreoline trogon,ne trogo,,1
citrus,citru,s,1
city,cit,,1
city block distance, distanc,,62
city transformation,formatio,,69
civet,cive,,1
civets,civet,s,1
civil society,l societ,,2
civilizational collapse, collaps,,9
cixiidae,cixiida,,1
cjs model,cjs mode,,1
clade age,clade ag,,1
clade diversification,ificatio,,174
clade growth models,th model,s,5
clade niche breadth and overlap,d overla,,2
clade selection,selectio,,298
clade size,lade siz,,1
clade turnover, turnove,,45
clade-specific evolutionary trade-offs,rade-off,s,38
clade-wide convergence,nvergenc,,15
clades,clade,s,1
cladistic relationships,tionship,s,76
cladistics,ladistic,s,1
cladium jamaicense,amaicens,,1
cladocera,cladocer,,1
cladoceran length,an lengt,,1
cladoceran zooplankton,oplankto,,12
cladocerans,adoceran,s,1
cladodes,cladode,s,1
cladogenesis,dogenesi,s,6
cladogenetic change,ic chang,,6
cladophora,ladophor,,1
cladophora columbiana,olumbian,,2
cladophora vagabunda,vagabund,,1
clam,cla,,3
clam model,lam mode,,2
clam shrimps,m shrimp,s,1
clamator glandarius,landariu,s,2
clams,clam,s,1
claravis,claravi,s,1
clarisia ilicifolia,licifoli,,4
clarisia racemosa, racemos,,8
clarkia,clarki,,1
clarkia concinna, concinn,,1
clarkia exilis,ia exili,s,1
clarkia gracilis, gracili,s,5
clarkia pulchella,pulchell,,2
clarkia tembloriensis,loriensi,s,1
clarkia unguiculata,guiculat,,1
clarkia xantiana, xantian,,2
clarkia xantiana ssp xantiana, xantian,,2
clarks nutcracker,utcracke,,1
claroideoglomus etunicatum,tunicatu,,2
claslite,claslit,,1
class segregation,gregatio,,54
class structure,structur,,198
class-structured population,opulatio,,62
classical metapopulation,opulatio,,62
classical polyandry,polyandr,,4
classical swine fever,ine feve,,2
classification,ificatio,,174
classification and regression trees (cart),es (cart,,1
classification by sex,on by se,,1
classification methods,n method,s,7
classification tree,tion tre,,1
clavarioid fungi,oid fung,,3
clavulinaceae,ulinacea,,1
claw,cla,,3
claw damage,aw damag,,1
clay,cla,,3
clay lick,clay lic,,1
clay oxisol,ay oxiso,,1
clay soil,clay soi,,1
clay-colored thrush,ed thrus,,1
claytonia virginica,virginic,,5
clean development mechanism,mechanis,,24
cleaner fishes,er fishe,s,2
cleaner residential heating system,ng syste,,22
cleaning interactions,eraction,s,323
cleaning mutualism,mutualis,,62
cleaning station,g statio,,1
cleaning symbiosis,symbiosi,s,22
clear-water lakes,ter lake,s,1
clear-water phase,ter phas,,2
clearance,clearanc,,4
clearance rate,ance rat,,3
clearcut,clearcu,,1
clearcut edges,cut edge,s,2
clearcutting,arcuttin,,1
cleared leaf,ared lea,,1
clearwater and humic lakes,mic lake,s,1
cleavage pattern,e patter,,7
cleistanthus myrianthus,yrianthu,s,1
cleistogamy,eistogam,,1
clements,clement,s,1
clementsian,ementsia,,1
clementsian distributions,ribution,s,32
clementsian gradients,gradient,s,36
clementsian structure,structur,,198
clemmys insculpta,insculpt,,1
clench model,nch mode,,1
cleopmiarus hispidulus,ispidulu,s,1
cleptobiosis,ptobiosi,s,1
cleptoparasites,parasite,s,21
clermontia montis-loa,ontis-lo,,1
clermontia parviflora,arviflor,,3
clethra,clethr,,1
clethra-occidentalis,identali,s,22
clethrionomys,hrionomy,s,1
clethrionomys gapperi,s gapper,,1
clethrionomys glareolus,glareolu,s,2
clethrionomys rufocanus,rufocanu,s,1
clibadium erosum,um erosu,,1
clidemia heterophylla,erophyll,,6
clidemia hirta,mia hirt,,1
cliff edge effect,ge effec,,6
cliff nesting,f nestin,,1
cliff swallow,f swallo,,1
climacteridae,acterida,,1
climacteris picumnus, picumnu,s,1
climate,climat,,1
climate action,te actio,,1
climate adaptation,daptatio,,86
climate and environmental models,al model,s,19
climate and host-parasite interaction,teractio,,133
climate aridification,ificatio,,174
climate change,te chang,,15
climate change adaptation,daptatio,,86
climate change and fire, and fir,,1
climate change and fish populations,pulation,s,93
climate change and plant migration,migratio,,78
climate change effects,e effect,s,64
climate change experiment,xperimen,,142
climate change impacts,e impact,s,11
climate change mitigation,itigatio,,4
climate change refugia,e refugi,,6
climate change scenarios,scenario,s,6
"climate change, predicting effects",g effect,s,16
climate changes and population fluctuations,ctuation,s,22
climate control of nutrient cycling,t cyclin,,12
climate controls on decomposition,mpositio,,129
climate cues,mate cue,s,1
climate data,mate dat,,2
climate decomposition index,ion inde,,31
climate distance, distanc,,62
climate effects,e effect,s,64
climate effects on population dynamics, dynamic,s,330
climate envelope, envelop,,5
climate envelope modeling, modelin,,95
climate envelope models,pe model,s,2
climate events,te event,s,1
climate experiment,xperimen,,142
climate extremes, extreme,s,4
climate factor,te facto,,3
climate fluctuations,ctuation,s,22
climate fluctuations at different spatial scales,al scale,s,3
climate footprint,footprin,,2
climate gradient, gradien,,111
climate history,e histor,,33
climate impacts,e impact,s,11
climate indicators,ndicator,s,15
climate interactions,eraction,s,323
climate manipulation,ipulatio,,47
climate match,ate matc,,1
climate matching, matchin,,20
climate matching/mismatching,smatchin,,2
climate mismatch, mismatc,,11
climate modelling,modellin,,45
climate niche,ate nich,,3
climate niche breadth,e breadt,,7
climate perturbations,urbation,s,4
climate pivot point,vot poin,,1
climate potential,potentia,,41
climate projections,ojection,s,5
climate regulation,egulatio,,60
climate relict,te relic,,1
climate richness, richnes,s,85
climate seasonality,asonalit,,18
climate sensitivity,nsitivit,,36
climate sensitivity function, functio,,101
climate sensitivity profile,y profil,,3
climate stability,stabilit,,59
climate suitability,itabilit,,25
climate tolerance,toleranc,,58
climate tracking, trackin,,23
climate variability,riabilit,,81
climate variability hypothesis,ypothesi,s,335
climate variables,variable,s,23
climate variation,variatio,,240
climate vulnerability,erabilit,,17
climate warming,e warmin,,5
climate zones,ate zone,s,1
climate-change effects on primary production,roductio,,212
climate-change implications,lication,s,4
climate-fire interactions,eraction,s,323
climate-growth relationship,ationshi,,86
climate-growth responses,response,s,36
climate-plant equilibrium,uilibriu,,30
climate-plant-herbivore interaction,teractio,,133
climate-predator interactions,eraction,s,323
climate-terrain-fire interaction,teractio,,133
climate-tree growth relationships,tionship,s,76
climate-vegetation interactions,eraction,s,323
climatic adaptation,daptatio,,86
climatic and soil gradients,gradient,s,36
climatic attribution,tributio,,232
climatic barrier,c barrie,,6
climatic conditions,ondition,s,33
climatic control,c contro,,7
climatic cues,atic cue,s,1
climatic debt,atic deb,,1
climatic distributions,ribution,s,32
climatic disturbance,sturbanc,,66
climatic drivers,c driver,s,5
climatic drought,c drough,,2
climatic effects,c effect,s,42
climatic envelope, envelop,,5
climatic events,ic event,s,3
climatic factors,c factor,s,13
climatic fluctuation,uctuatio,,11
climatic gradient, gradien,,111
climatic heterogeneity,rogeneit,,73
climatic hinge,tic hing,,1
climatic indices,c indice,s,2
climatic influence,influenc,,9
climatic limitation,imitatio,,105
climatic mismatch, mismatc,,11
climatic niche,tic nich,,5
climatic niche evolution,evolutio,,298
climatic niche shift,che shif,,3
climatic oscillations,illation,s,5
climatic perturbation,turbatio,,14
climatic potential for richness, richnes,s,85
climatic preference evolution,evolutio,,298
climatic range,tic rang,,1
climatic range edge,ange edg,,3
climatic range limits,ge limit,s,8
climatic rarity,ic rarit,,1
climatic refugia,c refugi,,2
climatic response surfaces of species,f specie,s,11
climatic sensitivity,nsitivit,,36
climatic stability,stabilit,,59
climatic suitability,itabilit,,25
climatic tolerance hypothesis,ypothesi,s,335
climatic trigger,c trigge,,1
climatic variability,riabilit,,81
climatic variability hypothesis,ypothesi,s,335
climatic variables,variable,s,23
climatic variation,variatio,,240
climatic warming,c warmin,,2
climatic water deficit,r defici,,3
climatic zones,tic zone,s,1
climatic&#8208,tic&#820,,1
climatological regime,al regim,,5
climatology,imatolog,,6
climax,clima,,1
climax communities,mmunitie,s,153
climb,clim,,1
climber,climbe,,1
climbers and epiphytes,epiphyte,s,9
climbing,climbin,,1
climbing mechanisms,echanism,s,44
climbing mode,bing mod,,1
climbing plants,ng plant,s,8
climond,climon,,1
climosequence,osequenc,,7
clinal,clina,,1
clinal adaptation,daptatio,,86
clinal hybrid zone,brid zon,,8
clinal patterns, pattern,s,106
clinal variation,variatio,,240
cline,clin,,1
cline analysis, analysi,s,397
cline models,ne model,s,1
cline theory,ne theor,,3
clines,cline,s,1
clinical variation,variatio,,240
clinocottus spp,ottus sp,,2
clintonia uniflora, uniflor,,3
clipping,clippin,,1
clipping experiment,xperimen,,142
clitoria fairchildiana,childian,,1
cloaking,cloakin,,1
clonal,clona,,1
clonal animals,l animal,s,3
clonal architecture,hitectur,,32
clonal biology,l biolog,,8
clonal branching,branchin,,6
clonal competition,mpetitio,,174
clonal deletion, deletio,,2
clonal dispersal,dispersa,,174
clonal distribution,tributio,,232
clonal diversity,diversit,,255
clonal dynamics, dynamic,s,330
clonal evolution,evolutio,,298
clonal fish,onal fis,,1
clonal fitness,l fitnes,s,9
clonal fragment, fragmen,,3
clonal fragmentation,mentatio,,58
clonal grass,nal gras,s,1
clonal growth,al growt,,19
clonal growth form,owth for,,5
clonal growth models,th model,s,5
clonal host plant,ost plan,,3
clonal integration,tegratio,,17
clonal interference,erferenc,,34
clonal mobility, mobilit,,6
clonal monocarpy,monocarp,,2
clonal morphology,orpholog,,74
clonal organisms,organism,s,27
clonal perennial,perennia,,8
clonal plant morphology,orpholog,,74
clonal plants,al plant,s,13
clonal populations,pulation,s,93
clonal propagation,opagatio,,7
clonal repeatability,atabilit,,10
clonal reproduction,roductio,,212
clonal root system,ot syste,,1
clonal seaweeds, seaweed,s,3
clonal selection,selectio,,298
clonal senescence,enescenc,,19
clonal size,onal siz,,1
clonal species,l specie,s,24
clonal spread,al sprea,,5
clonal structure,structur,,198
clonal synchrony,synchron,,32
clonal traits,al trait,s,40
clonal transgenerational plasticity,lasticit,,75
clonal turnover, turnove,,45
clonal vs. sexual recruitment,cruitmen,,41
clonal woody species,y specie,s,16
clonality,clonalit,,2
clone,clon,,1
clone identification,ificatio,,174
clone senescence,enescenc,,19
clone size,lone siz,,2
clones,clone,s,1
clopla data base,data bas,,2
close-to-nature forestry, forestr,,6
closed canopy,ed canop,,2
closed chamber system,er syste,,3
closed forest,ed fores,,28
closed population models,on model,s,35
closed populations,pulation,s,93
closed robust design,st desig,,5
closed-population mark-recapture models,re model,s,15
closure,closur,,1
clothianidin,thianidi,,1
cloud,clou,,1
cloud combing,d combin,,1
cloud forest hemiepiphytes,epiphyte,s,9
"cloud forest, tropics",", tropic",s,2
cloud forest(s),forest(s,,6
cloud-base ecotone,e ecoton,,3
cloud-forest fragments,fragment,s,7
cloudforest,oudfores,,1
cloudiness,loudines,s,1
clover yellow vein virus,ein viru,s,1
clovers,clover,s,1
clump recognition process,n proces,s,13
clumped,clumpe,,1
clumped defecation,efecatio,,1
clumped dispersal,dispersa,,174
clumped distribution,tributio,,232
clumped resources,resource,s,35
clumping,clumpin,,1
clumping bamboo,ng bambo,,1
clumpy,clump,,1
clupea harengus, harengu,s,1
clupea pallasi,a pallas,,1
clusia,clusi,,1
clusia arrudae,a arruda,,1
clusia hilariana,hilarian,,1
clusia nemorosa, nemoros,,2
clusia palmicida,palmicid,,1
clusiaceae,lusiacea,,1
cluster,cluste,,1
cluster analysis, analysi,s,397
cluster detection,detectio,,20
cluster locations,location,s,3
cluster models,er model,s,5
cluster roots,ter root,s,1
cluster statistics,tatistic,s,26
clusterability,erabilit,,17
clustered resources,resource,s,35
clustering,lusterin,,19
clustering parameter,paramete,,5
clustering processes,processe,s,93
clutch,clutc,,1
clutch and egg size vs female size,male siz,,3
clutch biomass,h biomas,s,2
clutch effects,h effect,s,3
clutch initiation date,tion dat,,12
clutch manipulation,ipulatio,,47
clutch predation,predatio,,109
clutch sequence, sequenc,,13
clutch size,utch siz,,7
clutch size distributions,ribution,s,32
clutch size optimization,imizatio,,17
clutch size reduction,reductio,,33
clutch size variation,variatio,,240
clutch size vs. egg size, egg siz,,3
clutch size-dependent selection,selectio,,298
clutch variation,variatio,,240
clutch-laying,ch-layin,,1
clutch-size equation, equatio,,31
clutch-size flexibility,exibilit,,11
clutch-size manipulation,ipulatio,,47
clyomys laticeps, laticep,s,2
clypeasteroid,easteroi,,1
cmr,cm,,2
cms,cm,s,2
cn balance (hypothesis),pothesis,,1
cnemidophorus,idophoru,s,1
cnemidophorus lemniscatus,mniscatu,s,1
cnemidophorus-murinus,s-murinu,s,1
cnidaria,cnidari,,1
cnidocampa flavescens,lavescen,s,3
cnidoscolus aconitifolius,itifoliu,s,1
cnipodectes superrufus,uperrufu,s,1
cnv,cn,,1
co2,co,,4
co-abundance,abundanc,,78
co-correspondence analysis, analysi,s,397
co-distribution,tributio,,232
co-diversification,ificatio,,174
co-evolutionary networks, network,s,61
co-evolutionary theory,ry theor,,5
co-flowering,flowerin,,25
co-flowering community,communit,,120
co-gradient variation,variatio,,240
co-gradient variation and counter-gradient variation,variatio,,240
co-inertia analysis, analysi,s,397
co-limitation,imitatio,,105
"co-limitation, nutrient", nutrien,,2
co-management,anagemen,,79
co-management approaches,pproache,s,8
co-occurrence,ccurrenc,,11
co-occurrence networks, network,s,61
co-occurring or codominant invaders, invader,s,3
co-opted,co-opte,,1
co-opted traits,ed trait,s,12
co-option,co-optio,,2
co-presence,-presenc,,1
co(2) efflux,2) efflu,,1
co&#8208,co&#820,,1
co1,co,,4
co2 acclimation,climatio,,10
co2 chambers, chamber,s,3
co2 compensation point,ion poin,,6
co2 concentration,entratio,,35
co2 elevation,elevatio,,9
co2 emission, emissio,,4
co2 enrichment,nrichmen,,27
co2 enrichment (face) experiment,xperimen,,142
co2 exchange, exchang,,26
co2 exchange vs ppfd,e vs ppf,,1
co2 feedback, feedbac,,36
co2 fertilization,ilizatio,,75
co2 flux,co2 flu,,1
co2 flux measurements,surement,s,6
co2 fluxes,o2 fluxe,s,1
co2 responsiveness,nsivenes,s,6
co2 supersaturation,aturatio,,28
co2 uptake,o2 uptak,,1
co2 x h2o interactions,eraction,s,323
co2-assimilation,imilatio,,14
co2-induced npp enhancement,hancemen,,12
coachwood,coachwoo,,1
coadaptation,daptatio,,86
coadapted gene complexes,complexe,s,2
coal tit,coal ti,,1
coal to electricity policy,ty polic,,1
coalescence,alescenc,,2
coalescence theory,ce theor,,16
coalescence time,ence tim,,11
coalescent,oalescen,,3
coalescent analyses, analyse,s,17
coalescent history,t histor,,6
coalescent methods,t method,s,1
coalescent modeling, modelin,,95
coalescent models,nt model,s,10
coalescent phylogeography,geograph,,41
coalescent process,t proces,s,8
coalescent simulations,mulation,s,10
coalescent theory,nt theor,,5
coalitions,oalition,s,2
coancestry,oancestr,,1
coancestry model,try mode,,2
coarse particulate organic matter (cpom),er (cpom,,1
coarse roots,rse root,s,1
coarse woody debris,dy debri,s,6
coarse woody habitat,y habita,,6
coarse woody productivity,ductivit,,69
coarse-root biomass,t biomas,s,12
coast live oak, live oa,,1
coast redwood,t redwoo,,1
coastal,coasta,,1
coastal and estuarine studies,e studie,s,6
coastal barrens,l barren,s,1
coastal california plant communities,mmunitie,s,153
"coastal central california, usa","rnia, us",,11
coastal development,velopmen,,95
coastal distribution,tributio,,232
coastal dune community,communit,,120
coastal dune ecosystem,ecosyste,,67
coastal dune forests,e forest,s,13
coastal dunes,tal dune,s,1
coastal ecology,l ecolog,,48
coastal ecosystems,cosystem,s,59
coastal effect,al effec,,12
coastal environments,ironment,s,22
coastal eutrophication,phicatio,,8
coastal exploitation,loitatio,,20
coastal food web, food we,,30
coastal foredunes,foredune,s,1
coastal forests,l forest,s,18
coastal gradient, gradien,,111
coastal habitat change,at chang,,2
coastal habitats, habitat,s,46
coastal lagoon,al lagoo,,1
coastal management,anagemen,,79
coastal marine communities,mmunitie,s,153
coastal marine ecosystems,cosystem,s,59
coastal marshes,l marshe,s,3
coastal marsh plain,rsh plai,,1
coastal marsh restoration,storatio,,38
coastal marshlands,arshland,s,1
coastal oceanography,anograph,,7
coastal peatland, peatlan,,7
coastal plain,tal plai,,2
coastal plain streams,n stream,s,10
coastal prairie,l prairi,,1
coastal prairie grassland,grasslan,,47
coastal protection,rotectio,,25
coastal rainforest ecosystems,cosystem,s,59
coastal sage,stal sag,,1
coastal sage scrub,age scru,,3
"coastal sage scrub, southern california, usa","rnia, us",,11
coastal saltmarsh,saltmars,,1
coastal sand dunes,and dune,s,2
coastal scrub,tal scru,,1
coastal sea ice,l sea ic,,1
coastal storms,al storm,s,2
coastal tablelands,ableland,s,1
coastal temperate rainforest,ainfores,,5
coastal topography,opograph,,5
coastal tropical wetlands, wetland,s,15
coastal turf ecosystems,cosystem,s,59
coastal upwelling,upwellin,,2
coastal vegetation,egetatio,,72
coastal wetlands, wetland,s,15
coastal zone,stal zon,,1
coastal zone management,anagemen,,79
coastal-lowland forest,nd fores,,7
coastal-plain toad,lain toa,,1
coat color polymorphism,ymorphis,,73
coat colour,at colou,,1
coati,coat,,1
cobaea,cobae,,1
cobble,cobbl,,1
cobble beach,ble beac,,1
cobenefits,obenefit,s,1
cobitis,cobiti,s,1
cobreeding,obreedin,,1
cobweb thistle,b thistl,,1
cobwebs,cobweb,s,1
coccidae,coccida,,1
coccidia,coccidi,,1
coccids,coccid,s,1
coccinella,occinell,,1
coccinella 7-punctata,-punctat,,1
coccinella septempunctata,mpunctat,,1
coccinellid,ccinelli,,1
coccinellid beetle,id beetl,,1
coccinellidae,inellida,,1
coccoidea,coccoide,,2
coccolithophore,ithophor,,1
coccolithophore blooms,re bloom,s,1
coccus viridis,s viridi,s,3
coccyzus,coccyzu,s,1
cocha cashu,cha cash,,1
cocha cashu biological station,l statio,,12
cochliobolus heterostrophus,ostrophu,s,1
cochliopidae,hliopida,,1
cochlodina laminata, laminat,,1
cochrans q,ochrans ,,1
cockerham and weir bio model c,o model ,,1
cockle cerastoderma edule,rma edul,,2
cockroach,cockroac,,1
cockroaches,ckroache,s,1
cocksfoot,cocksfoo,,1
cocoa,coco,,1
cocoa farms,coa farm,s,1
cocoa trees,coa tree,s,1
coconino national forest,al fores,,41
"coconino national forest, arizona, usa","zona, us",,4
coconut copra,nut copr,,1
coconut plantations,antation,s,10
cocos island,os islan,,1
cocos nucifera, nucifer,,1
cod,co,,4
cod population dynamics, dynamic,s,330
coda,cod,,1
codispersion,ispersio,,26
codispersion analysis, analysi,s,397
codium,codiu,,1
codium fragile,m fragil,,1
codivergence,ivergenc,,55
codominants,dominant,s,1
codon models of molecular evolution,evolutio,,298
codon-based likelihood models,od model,s,2
coefficient of additive genetic variation,variatio,,240
coefficient of overlapping,erlappin,,1
coefficient of relatedness,latednes,s,11
coefficient of relationship,ationshi,,86
coefficient of skewness, skewnes,s,4
coefficient of variation,variatio,,240
coefficient of variation of mass,n of mas,s,1
coefficients of inbreeding,nbreedin,,7
coelopa,coelop,,1
coelopa frigida,a frigid,,2
coelopid,coelopi,,1
coelus ciliatus, ciliatu,s,1
coemergence,emergenc,,15
coenagrion,oenagrio,,1
coenagrion puella,on puell,,1
coenagrion spp.,rion spp,,1
coendou,coendo,,1
coenonympha pamphilus,pamphilu,s,1
coercion,coercio,,1
coercive mating,ve matin,,8
coereba flaveola, flaveol,,2
coevoltion,oevoltio,,1
coevolution ecological networks, network,s,61
coevolution garter snake,ter snak,,3
coevolutionarily stable communities (csc),ies (csc,,1
coevolutionarily stable strategy, strateg,,107
coevolutionarily stable strategy (coess),y (coess,,1
coevolutionary alternation,ternatio,,4
coevolutionary arms race,arms rac,,4
coevolutionary asymmetry,asymmetr,,22
coevolutionary cycling,y cyclin,,1
coevolutionary dynamics, dynamic,s,330
coevolutionary history,y histor,,6
coevolutionary hotspot,y hotspo,,5
coevolutionary interactions,eraction,s,323
coevolutionary niche shift,che shif,,3
coevolutionary rescue,ry rescu,,3
coevolutionary units,ary unit,s,1
coexistance,existanc,,1
coexistence community assembly, assembl,,25
coexistence competition,mpetitio,,174
coexistence guild structure,structur,,198
coexistence in cycling vs. stable systems,e system,s,9
coexistence in igp systems,p system,s,2
coexistence in plant communities,mmunitie,s,153
coexistence mechanisms,echanism,s,44
coexistence of cheaters and cooperators,operator,s,1
coexistence of clones,of clone,s,2
coexistence of species,f specie,s,11
coexistence theory,ce theor,,16
coexistence time,ence tim,,11
"coexistence, predator mediated, colorado", colorad,,4
coexistence: colonization-competition,mpetitio,,174
coexisting,oexistin,,1
coexisting species,g specie,s,16
coextinction,xtinctio,,41
coffea arabica,a arabic,,1
coffee,coffe,,1
coffee agroecosystem,ecosyste,,67
coffee agroforestry,oforestr,,3
coffee berry borer,rry bore,,1
coffee forest,ee fores,,1
coffee leaf rust,leaf rus,,1
coffee plantations,antation,s,10
coffee shade plantations,antation,s,10
cognition,cognitio,,35
cognitive abilities,abilitie,s,16
cognitive aging,ive agin,,1
cognitive bias,tive bia,s,2
cognitive buffer,ve buffe,,1
cognitive buffer hypothesis,ypothesi,s,335
cognitive map,itive ma,,1
cognitive senescence,enescenc,,19
cogongrass,ogongras,s,1
coherence,coherenc,,4
coherence number,ce numbe,,2
cohesion,cohesio,,1
cohesive dispersal,dispersa,,174
coho salmon,ho salmo,,1
cohort,cohor,,1
cohort analysis, analysi,s,397
cohort competition,mpetitio,,174
cohort cycles,rt cycle,s,1
cohort dynamics, dynamic,s,330
cohort effects,t effect,s,37
cohort generation time,tion tim,,15
cohort iteroparity,eroparit,,2
cohort life table,ife tabl,,4
cohort model,ort mode,,2
cohort selection,selectio,,298
cohort senescence,enescenc,,19
cohort spatial distribution,tributio,,232
cohort splitting,splittin,,3
cohort variation,variatio,,240
coi,co,,4
coiba island,ba islan,,1
coidifferentiation,entiatio,,40
coin-flipping,-flippin,,1
coin-flipping plasticity,lasticit,,75
coincidence,incidenc,,7
coincident disruptive coloration,oloratio,,35
coinfection,infectio,,37
coitocaecinn parvuin,n parvui,,1
coitocaecum parvum,um parvu,,2
cola,col,,3
colaptes auratus,s auratu,s,4
cold,col,,3
cold acclimation,climatio,,10
cold acclimatization,atizatio,,5
cold adaptation,daptatio,,86
cold and warm temperatures,perature,s,10
cold biomes,ld biome,s,1
cold climate,d climat,,2
cold desert,ld deser,,1
cold duration effect,on effec,,23
cold ecosystem,ecosyste,,67
cold hardiness,hardines,s,1
cold intolerance,toleranc,,58
cold season,ld seaso,,1
cold seep,cold see,,1
cold sensitivity,nsitivit,,36
cold spells,ld spell,s,1
cold steppe,ld stepp,,1
cold stratification,ificatio,,174
cold stress,ld stres,s,1
cold stress resistance,esistanc,,97
cold tolerance,toleranc,,58
cold-adapted,d-adapte,,1
cold-adapted plants,ed plant,s,12
cold-induced,d-induce,,1
cold-stress tolerance,toleranc,,58
cold-temperate forests,e forest,s,13
cole approximation,oximatio,,14
coleman curve,man curv,,1
coleomegilla maculata, maculat,,7
coleophora laricella,laricell,,1
coleoptera,oleopter,,1
coleosporium,eosporiu,,1
coleosporium ipomoeae, ipomoea,,1
coleotichus,leotichu,s,1
coles equation, equatio,,31
coles paradox,s parado,,3
coles prediction,redictio,,12
coli,col,,3
colias,colia,s,1
colias eriphyle, eriphyl,,1
colias eurytheme,eurythem,,1
colicin,colici,,1
colicin resistance,esistanc,,97
colinearity conservation,servatio,,81
collaboration,aboratio,,5
collaborative partnerships,tnership,s,3
collagen,collage,,1
collapse,collaps,,1
collapse of cod,se of co,,1
collapse risk,apse ris,,1
collapse scar bog, scar bo,,1
collapsing,ollapsin,,1
collar peccary,r peccar,,1
collared flycatcher,lycatche,,3
collared lizard,ed lizar,,2
collared peccaries,peccarie,s,3
collared peccary,d peccar,,2
collared pika,ared pik,,1
collaring,collarin,,1
collecting,ollectin,,2
collecting bias,ting bia,s,3
collecting effort,ng effor,,11
collection methods,n method,s,7
collections,llection,s,8
collective action,ve actio,,2
collective animal behavior, behavio,,157
collective behavior, behavio,,157
collective decision-making,on-makin,,3
collective detection,detectio,,20
collective dispersal,dispersa,,174
collective group decisions,decision,s,11
collective resistance,esistanc,,97
collective solutions,solution,s,2
collembola,ollembol,,1
colless imbalance,imbalanc,,8
collesss index,sss inde,,1
colletes cunicularius,iculariu,s,1
colletotrichum,totrichu,,1
colletotrichum anthrisci,anthrisc,,1
colletotrichum dematium, dematiu,,1
colletotrichum gloeosporioides,porioide,s,1
colletotrichurn lindemuthianum,muthianu,,1
collinear variation,variatio,,240
collinearity,linearit,,4
collinsia,collinsi,,2
collinsia heterophylla,erophyll,,6
collinsia sparsiflora,arsiflor,,1
collinsia torreyi,a torrey,,1
collinsia verna,sia vern,,1
collisella,ollisell,,1
